A1_1 Int (Treated)	A1_2 Int (Treated)	A1_3 Int (Treated)	A2_1 Int (Treated)	A2_2 Int (Treated)	A2_3 Int (Treated)	A6_1 Int (Treated)	A6_2 Int (Treated)	A6_3 Int (Treated)	B1_1 Int (Treated)	B1_2 Int (Treated)	B1_3 Int (Treated)	B10_1 Int (Treated)	B10_2 Int (Treated)	B10_3 Int (Treated)	B2_1 Int (Treated)	B2_2 Int (Treated)	B2_3 Int (Treated)	B3_1 Int (Treated)	B3_2 Int (Treated)	B3_3 Int (Treated)	B5_1 Int (Treated)	B5_2 Int (Treated)	B5_3 Int (Treated)	B6_1 Int (Treated)	B6_2 Int (Treated)	B6_3 Int (Treated)	B8_1 Int (Treated)	B8_2 Int (Treated)	B8_3 Int (Treated)	A3_1 Int (Treated)	A3_2 Int (Treated)	A3_3 Int (Treated)	A4_1 Int (Treated)	A4_2 Int (Treated)	A4_3 Int (Treated)	A5_1 Int (Treated)	A5_2 Int (Treated)	A5_3 Int (Treated)	B4_1 Int (Treated)	B4_2 Int (Treated)	B4_3 Int (Treated)	B7_1 Int (Treated)	B7_2 Int (Treated)	B7_3 Int (Treated)	B9_1 Int (Treated)	B9_2 Int (Treated)	B9_3 Int (Treated)
13.91427	13.46785	12.76698	13.37854	13.65211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.01954	12.1181	11.49024	17.07634	11.78857	11.85615	11.6983	11.85583	12.3521	11.73588	11.60828	10.91265	11.56161	12.40761	14.91915	12.99088	12.78989	12.10223	11.4239	11.73247	11.7039	11.73621	16.75155	16.6261	16.99816	11.67864	11.31488	11.11842	11.63152	14.93575	11.69575	11.68268	11.60892	11.50732	11.5976	11.36874	11.58491	11.34111	11.80691	11.55887	11.60838	11.70012	12.01762	12.52305	12.15656	11.47545	11.6572	11.86305
15.05305	0	15.0247	0	15.07103	15.04397	15.01043	15.18022	15.82658	14.93721	15.0109	14.3275	14.57664	15.06903	14.96901	15.76745	15.47029	14.86323	15.11893	0	14.96604	0	0	0	0	0	0	14.95955	14.92551	15.06224	0	0	0	15.11934	14.96082	15.00831	15.12861	14.95804	0	15.05703	0	15.02571	0	14.91876	0	0	0	0
0	14.84425	16.62744	16.20453	16.00917	15.82162	0	16.68827	14.81728	16.39274	0	0	0	14.05921	0	0	0	0	0	16.05792	0	0	0	0	0	0	0	0	0	0	16.52924	14.36426	14.47494	16.42867	16.8207	15.12719	0	0	0	0	0	0	0	0	0	0	0	0
8.130809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.790566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.36734	14.34231	14.46328	14.42632	14.38831	14.52919	14.32633	14.49275	14.41181	14.17903	14.20326	14.13504	14.29641	14.2985	14.29076	14.26012	14.45103	14.13618	14.35764	14.28762	14.26348	14.613	14.25367	14.32652	14.34592	0	0	14.31608	14.30108	14.36632	14.61143	14.56926	0	14.59839	14.51957	0	0	0	0	14.26535	14.32774	14.36262	14.38175	0	14.36984	0	0	0
15.20333	15.48405	15.49205	15.41738	15.2509	15.39035	0	0	14.99432	14.86665	0	14.57827	0	0	14.95909	14.82368	0	0	15.03858	0	0	0	0	0	0	0	0	0	0	0	15.33671	15.28967	15.31131	15.208	15.12416	15.28308	15.33296	0	0	0	0	0	0	0	0	14.94714	0	0
12.99532	13.23551	13.15108	13.1679	13.26529	13.12146	13.28022	13.16599	14.18686	13.14663	13.21305	12.51786	12.76277	12.98581	13.02919	14.19521	14.05488	12.88818	13.13205	13.18093	13.13174	13.25431	13.95485	13.15049	13.01215	12.99041	13.05329	13.24993	13.19598	12.7315	13.08777	13.16341	13.14909	13.31423	13.08738	13.02474	13.1256	13.16602	13.14786	13.31651	13.17004	13.26657	12.58612	14.09162	13.49582	12.65945	13.89721	13.84062
14.81081	0	14.82335	14.77785	14.81236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7416	14.73661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.50944	15.81535	16.23148	16.55853	16.49855	16.55249	15.39409	15.67419	15.98809	15.85036	15.85398	15.80993	14.79762	14.16614	12.09165	14.07856	13.98047	0	0	0	0	0	0	0	0	0	0	0	0	0	16.29733	0	16.22569	16.26026	16.2025	15.91385	15.17248	15.53928	15.64014	0	0	0	0	0	0	0	0	0
15.50135	15.43252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.34976	12.86594	14.47234	14.29287	12.48521	12.49858	0	0	0	0	0	14.32566	14.5491	0	0	0	0	0	0	14.12902	0	0	0	0	0	0	0	0	0	0	13.2754	14.29009	14.50447	12.88459	12.88136	12.27992	0	14.32065	0	14.17102	14.19476	0	0	0	0	14.02147	0	0
15.50117	15.24402	15.48539	0	15.36007	0	14.91825	0	14.41522	15.42082	15.294	0	14.70616	15.21112	15.31006	15.34604	15.19907	15.3098	15.19627	0	14.90025	14.88637	15.33153	15.01046	15.2216	0	15.25852	15.25367	15.34676	15.31731	15.43577	15.26864	15.12207	14.9644	15.17461	0	15.42585	0	15.30157	0	15.30679	15.31839	15.00544	15.04067	15.07416	15.1326	15.2108	15.20804
15.36614	15.44208	0	0	15.35076	15.37784	15.20964	15.22452	13.5014	0	15.34802	15.31848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.20637	15.25128	15.31243	15.19425	15.20835	15.31947	15.25398	0	15.25339	0	0	0	15.13155	0	0	0	0	0	0
12.40412	12.83614	12.01751	12.13855	12.411	11.88445	11.85231	11.9605	14.54546	11.88111	11.99766	11.69421	12.97222	13.56627	13.51496	13.31084	13.16174	0	13.66422	0	0	0	0	0	0	0	0	13.62648	0	0	13.15674	12.94687	11.86812	13.23231	11.80329	12.09187	11.63583	13.08846	13.12326	13.67428	13.68783	13.64325	13.58173	0	14.77458	0	14.92734	0
11.16552	10.69858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.52985	0	10.16255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.28033	0	0	0	0	0
8.891708	0	0	0	9.629503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.56336	13.75204	13.87112	0	0	11.72724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.99258	14.04671	0
15.59452	15.77091	0	15.68515	0	0	0	0	0	0	0	15.32298	0	15.60703	0	0	0	0	0	15.66079	15.63903	16.13752	16.07357	0	15.60933	0	15.62531	15.62371	0	0	0	0	0	15.66158	15.68519	15.71035	0	0	0	0	0	0	0	15.83697	0	0	0	0
0	0	0	0	0	0	0	0	0	0	15.74706	15.91411	15.76063	0	15.90374	16.05971	0	15.98141	15.86894	0	0	15.92395	15.8717	15.959	0	15.90841	0	15.69852	0	0	0	0	15.49047	15.40123	0	0	0	0	0	15.88177	15.97888	0	15.76535	15.64236	0	0	0	15.98792
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.678333	9.525764	11.1223	11.00196	10.41104	15.93232	9.575707	0	10.4295	15.54197	9.643592	9.836028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.331428	12.38331	10.13849	9.866185	11.76674	9.300878	9.787734	10.20514	9.698989	0	0	0	0	0	0	0	0	15.74648
14.63264	14.6732	0	14.72651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.66538	0	0	0	0	15.11586	15.05849	14.55282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.02912	0	0	0	0	0
9.525911	10.55667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.68205	17.99397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.32338	0	15.56695
7.654271	6.918514	7.737064	7.565358	13.83931	5.90477	6.401857	4.359907	3.547502	13.69984	13.74668	6.88846	7.482264	14.26318	6.05488	8.308423	6.746602	0	0	0	0	0	0	0	0	0	0	0	13.99861	0	5.71908	6.214507	6.194742	6.299248	6.405943	6.239314	5.837986	6.919832	7.625071	0	0	0	0	0	0	0	0	0
16.37959	15.59004	16.39786	16.44803	16.44297	16.34935	16.73158	0	0	16.56994	0	0	0	0	16.7565	0	0	0	16.54557	0	17.68324	0	0	0	0	0	16.33836	0	16.66023	0	16.648	16.23742	16.38132	16.49197	16.85225	16.87824	15.42152	17.03848	16.6432	16.43804	0	0	0	0	15.96428	0	0	16.4805
15.47899	15.53488	15.53546	15.44767	15.48778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.77876	0	17.74965	17.93331	17.73702	0	0	0	0	14.8686	12.2273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.06093	16.42324	16.30401	16.3614	15.4679	16.29856	16.25184	16.23853	14.75311	16.32508	16.31958	16.29409	16.27462	16.22075	16.30397	16.18738	16.15367	16.18141	16.18995	16.15905	16.32156	16.11163	0	0	16.21631	0	0	16.28295	16.22659	16.25248	16.2261	16.02564	16.26268	16.23755	16.1738	16.12548	16.22624	16.32317	16.30086	16.20006	16.19824	16.20288	15.91787	16.07509	0	0	16.22873	16.1277
15.50926	0	0	15.49081	15.42899	0	15.46648	15.34439	16.07465	15.378	15.49776	14.58884	14.90603	15.28792	15.25574	15.96245	16.11815	15.26997	15.51809	15.47002	15.23176	15.21765	15.82706	15.2917	15.14141	15.40821	0	0	0	0	0	15.26252	15.23049	15.36692	0	0	15.2894	15.34203	15.39685	15.42771	15.48726	15.27673	15.24801	0	16.0163	15.2155	0	0
15.66106	15.72356	15.71615	15.7649	15.76611	15.84846	15.78957	15.83241	0	15.7911	15.81802	15.70327	15.86552	15.79362	15.7259	15.90953	16.11771	0	15.80739	15.8555	0	15.97939	15.49553	0	0	0	0	15.77235	15.64447	15.81493	15.84966	16.02611	15.99746	0	15.95883	15.966	15.99328	16.0797	16.10791	0	15.82365	15.78794	15.84899	15.89775	15.94842	15.85011	15.80274	15.76485
16.91155	16.93527	16.98811	16.93356	16.82067	16.90499	0	0	0	0	0	0	0	16.92329	17.26686	16.5704	16.58052	0	0	0	0	0	0	0	0	0	0	0	0	0	17.08272	17.11389	17.09212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.48496	11.08471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.12367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.48649	0
14.02155	13.9926	11.67674	11.89113	11.89658	11.79529	0	0	0	0	0	0	0	0	0	0	15.11979	0	0	0	0	0	0	0	0	0	0	0	0	0	11.21062	11.35142	11.1258	11.64907	11.46986	11.47726	0	11.03152	0	0	0	0	16.1549	16.19061	0	0	0	0
11.03944	10.52564	10.02817	10.95098	10.79623	11.11453	10.36215	10.5517	11.10749	10.70683	10.31465	9.734244	9.698225	10.81199	10.66692	0	0	0	0	0	0	15.73901	15.9809	0	0	0	0	0	0	0	10.70474	10.52792	10.37677	10.78597	10.65094	10.66687	10.22217	10.37802	10.79961	0	0	0	0	0	0	0	0	0
7.715266	7.983556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.29617	13.38695	8.497278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.558469	8.799027	0	0	0	0
14.86458	0	15.00004	0	14.90913	0	0	15.01028	14.66812	14.64878	0	0	14.5829	14.56616	14.017	14.63626	14.94295	14.63879	14.84071	14.86915	14.85237	14.76104	14.5834	14.81077	15.29364	0	0	13.99523	14.74015	14.73387	14.95079	0	0	0	0	0	0	0	0	14.77578	14.79524	14.79342	14.77339	0	14.526	0	0	0
6.304874	6.601207	0	0	0	0	0	13.35888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.81914	9.749721	7.961899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.039585	8.104977	0	0	0	0
15.28168	15.5977	15.13433	15.74704	15.60883	15.23104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.96316	0	0	0	15.88229	16.01788	0	16.04963	15.63892	15.84286	15.42309	16.0877	0	0	0	0	0	0	0	16.15376	15.94281	0
0	0	14.67337	0	0	0	0	0	0	14.70021	14.55579	0	0	0	0	0	14.32578	14.50524	14.56869	0	0	0	0	0	0	0	0	0	0	0	14.73398	14.66013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	14.90866	14.90992	0	0	15.61235	0	0	16.25306	0	0	16.21507	15.81144	0	0	16.11626	16.07811	15.69403	0	0	15.39911	0	0	0	15.97272	16.18779	0	15.51749	15.3036	0	15.58775	0	0	0	0	0	0	15.85413	0	0	15.55008	0	15.29924	15.92715	16.02442	0	0	16.33171
0	15.34037	15.47982	15.14631	0	15.1565	0	0	0	0	15.09499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.86281	0	0	0	0	0	0	0	14.96864	0	0	0	0	0	0	0	0	0	0
14.31871	14.27197	14.29684	14.18554	14.23975	14.1541	14.12619	14.16715	12.51789	14.17783	14.01637	13.97383	14.20387	14.25848	14.29554	14.10542	0	14.19699	13.68671	13.8015	13.79161	0	0	0	0	0	0	0	0	0	0	14.21351	14.03609	14.1097	14.05443	13.91447	14.08935	14.08282	14.10817	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.63586	13.96225	0	0	12.83414	12.86266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.81151	0	0	0	0	0	0	0	0
16.34028	16.36201	16.13062	16.31717	16.31982	0	16.31072	16.24733	17.09735	16.41063	16.4422	15.49014	15.79067	16.38484	16.33522	16.9824	17.14188	16.23068	16.30619	16.43123	16.29897	16.17381	0	16.38423	16.2233	16.34402	16.26329	16.28858	16.38338	16.40176	16.24761	16.24379	16.22264	16.29112	16.24983	16.28006	16.36183	16.31226	16.36549	16.44979	16.44726	16.40186	16.28701	16.96521	17.11753	16.02175	0	15.69923
0	14.87469	14.97216	14.84919	15.0781	0	0	14.98426	14.65205	14.92127	15.06558	13.98206	14.25018	0	15.04198	14.92754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.00919	14.93984	15.00172	14.92826	0	14.95961	14.9825	14.90158	14.99376	0	0	0	0	0	0	15.67716	0	0
15.85169	15.85477	15.79442	15.57952	15.25831	15.77278	15.22028	15.2967	15.03105	15.69964	15.57619	15.52469	15.61043	12.8053	12.50296	12.5782	13.28911	12.92443	15.45799	0	0	0	0	0	0	0	0	0	0	0	15.7014	15.59428	15.69339	15.5419	15.56388	14.81611	15.54517	15.64578	15.62741	0	0	0	0	0	0	0	0	0
17.58438	17.60537	17.63311	17.51018	17.43511	17.48886	17.42662	17.47513	17.60657	17.64294	17.69393	17.68745	17.76404	17.77332	17.74318	16.90619	16.89902	0	0	0	0	0	0	0	0	0	0	0	0	0	17.62017	17.5721	17.4959	17.33774	17.31845	17.31152	17.50407	17.5137	17.56685	0	0	0	0	0	0	0	0	0
7.163334	6.102818	6.938461	5.600033	15.35313	7.433717	0	15.78993	0	0	15.42317	15.28701	0	15.35425	15.64272	0	15.54743	15.69804	15.10684	15.22815	15.60736	0	0	0	15.17704	15.24446	0	15.6793	15.18175	15.22675	15.37998	6.800837	5.695605	15.17901	15.11502	15.60165	15.32691	0	15.36984	0	0	0	0	14.91313	0	0	15.24807	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.62483	0	0	0	0	0	0	0	0	0	0	14.94021	0	0	0	0	13.94298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.10184	12.1258	13.08646	13.05065	12.78203	13.33274	13.38079	0	13.1721	0	13.28127	12.95286	13.19466	13.134	13.39365	0	13.46233	0	0	0	13.41315	0	0	0	0	0	0	13.1489	13.22975	13.3194	13.34384	13.01216	12.67188	13.55645	13.67246	13.48339	13.644	13.62866	12.77567	0	0	0	0	13.04706	12.97837	0	0	0
9.551891	9.628828	9.956977	9.821774	9.853367	9.845584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.26733	0	0	15.67538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.46027	12.61086	11.97369	12.42201	11.82906	11.80429	12.17897	12.47464	12.16964	11.91533	11.79108	11.8209	11.58252	12.61806	12.7925	12.76826	12.69518	12.67772	11.66412	11.7563	11.78992	12.93311	11.72116	11.69012	11.45879	0	0	12.61419	11.66667	12.51068	0	12.41896	0	12.48071	11.62321	0	0	12.4862	0	12.40615	12.27144	0	11.39875	0	11.71455	0	0	0
12.52627	12.52137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.67077	11.86414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.36045	12.64093	0	0	0	0
13.75259	13.91422	13.8874	13.8063	13.63434	13.70506	13.78822	13.56036	14.54896	13.67901	13.57795	12.97545	13.0694	13.60552	13.51749	14.69421	14.06237	13.63753	13.72006	13.7491	13.8355	14.87995	14.72133	14.78988	13.52548	13.46728	13.55664	13.68987	13.50308	13.63384	13.76943	13.75343	13.79151	13.81417	13.59798	13.70354	13.77812	13.70941	13.69293	13.60122	13.74554	13.78684	13.70834	14.31165	14.18421	13.52405	13.10627	12.94369
0	0	0	14.84139	0	0	0	0	15.86211	0	0	14.03672	0	14.39894	14.73562	15.69054	15.68913	14.64717	14.80416	0	0	14.87794	0	14.76372	0	0	14.64784	14.67716	14.67905	0	0	0	0	14.79076	0	0	0	0	0	0	0	0	14.65849	0	15.53062	14.56388	0	0
11.55542	11.81775	11.41382	11.39492	11.93983	11.79358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.81165	11.84077	11.76875	0	11.96756	12.01938	11.54887	0	0	0	0	0	0	0	0	0	0	0
14.40374	15.46414	15.44269	0	0	15.57353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.39964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.953974	10.1793	11.05384	9.955015	10.34086	10.92243	12.17148	10.8409	11.29443	8.463982	11.79035	11.81592	9.235916	13.43397	13.41807	13.28268	13.82564	13.16445	9.716837	10.15016	11.91219	12.82243	13.083	13.07269	12.59353	12.81396	10.88996	13.11248	12.42583	0	8.752817	11.64127	12.06768	12.17195	9.985924	12.36845	9.749841	11.17972	8.920794	12.14123	9.838367	12.18567	12.19556	12.33199	0	14.86137	14.57939	0
14.75751	14.83959	14.82673	14.72543	14.77838	14.7395	14.51164	14.5537	15.01171	14.56303	14.68221	13.85499	14.22724	14.48292	14.55611	15.1941	15.44907	0	14.74963	14.53662	14.60183	15.29213	15.41612	0	0	14.68737	0	14.45698	14.50949	14.57442	14.65551	14.71818	14.73061	14.75777	14.63763	14.64127	14.60127	14.79958	14.6976	0	14.59473	14.52472	0	0	0	0	0	0
15.69519	0	15.62454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.717227	6.474263	7.82976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.09759	7.077804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.076634	6.678617	0	0	15.69244	0
14.14261	14.21543	13.87521	13.13911	11.87516	12.37287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.99032	15.06779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.45616	13.56336	13.39624	13.54251	13.79775	13.79113	13.43397	13.85618	13.1253	13.48361	13.59519	13.37457	13.62866	0	13.4297	0	13.79623	0	0	0	0	14.07537	0	0	0	14.24421	0	0	0	13.76561	13.87407	14.01694	13.87693	14.06349	14.1187	13.99491	13.96154	13.81602	14.09698	13.72134	0	13.61215	0	13.47745	13.39341	0	0	14.06351
14.28185	14.36371	14.41286	14.51202	14.51883	14.61316	14.44459	14.54971	14.12964	13.42799	14.39085	14.04702	14.23641	14.49364	14.47535	14.06724	14.25057	14.22746	14.4905	14.42965	14.51999	14.88862	14.10862	14.33955	14.5136	14.66532	14.75889	14.52144	14.5082	14.54968	14.55351	14.783	14.93603	13.89439	14.82471	14.75721	14.96264	14.91898	14.9605	14.44296	13.48844	14.43777	14.55445	14.04171	14.25083	14.82234	14.69651	14.32566
14.65081	14.73256	14.76268	14.91071	14.87512	15.01127	14.9797	15.02305	14.7505	14.8795	14.97383	14.49162	14.74007	14.87822	14.87672	14.53278	14.73733	14.72156	14.92523	15.00602	15.04994	15.45026	14.83962	14.99756	15.07272	14.96463	0	15.0176	14.93389	15.04985	15.12543	15.29109	15.42531	15.28905	15.36872	15.1986	15.35692	15.33853	15.44249	14.86717	15.01227	14.93619	15.162	14.51228	14.66771	0	0	0
10.92604	10.72338	8.085054	9.511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5969	0
0	15.20107	15.2479	15.24244	15.10676	15.00401	0	0	0	15.50663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.94533	15.04257	15.06086	15.16387	15.28132	15.33328	0	0	0	0	0	0	0	0	0	0	0	0
12.26171	12.3481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.67494	12.76092	12.6062	12.88728	12.86124	13.11938	12.89039	13.07774	12.66467	12.75608	12.76973	0	12.66204	12.7978	12.84956	0	0	0	12.92626	12.97129	12.92472	0	0	0	0	0	0	12.75073	0	12.96323	13.06035	13.36082	13.25948	13.09493	13.29801	13.24748	13.32656	13.35178	13.2856	12.94659	12.77516	12.80149	13.02814	12.43603	0	0	0	0
10.99907	10.3756	10.3243	11.43626	11.15021	11.51652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.42067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	14.94077	14.76836	14.89801	14.87088	14.88727	14.60617	14.60272	13.19201	14.91617	0	0	0	0	0	14.67734	14.63275	0	14.82848	0	0	14.39217	0	0	13.55557	14.65105	14.70538	0	14.73906	0	0	14.92039	14.55059	0	0	14.94896	0	14.53036	15.00534	14.77453	14.80106	14.7591	14.63288	0	0	0	0	0
10.04586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.96703	0	0	14.61672	15.42735	0	0	0	15.42439	15.05571	0	0	0	0	0	0	0	0	0	0
9.182294	9.407283	8.573367	9.385458	9.245954	9.448401	0	0	0	0	0	0	0	0	0	0	0	0	14.66985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.60803	0	0	0	14.66453	0	0	0	0	0	0
11.17693	10.87464	11.08491	11.75702	11.86107	11.8576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.85178	11.18879	11.17267	11.86914	12.27401	11.89956	11.01662	10.88787	0	0	0	0	0	0	0	0	0	0
15.75082	15.78287	15.81548	15.74032	15.84777	15.73879	15.7345	15.7395	15.64241	15.4642	15.71616	15.01007	15.1609	15.66844	15.66137	15.16504	15.27362	15.44381	14.4237	14.33729	15.70723	15.93548	15.93855	15.65452	15.51961	15.54707	15.57756	15.6607	15.66583	15.68272	15.78246	15.72983	15.77237	15.66949	15.59688	15.62644	15.77991	15.77734	15.71306	15.62788	15.74567	15.73131	15.85095	15.29368	15.22984	15.40086	15.06487	15.12255
12.62089	12.64761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.07205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.81523	12.38783	0	0	0	0
9.85173	10.12632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.81347	7.802126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.38014	10.06851	0	0	0	0
14.00638	14.19722	13.92253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.49286	13.77161	0	0	0	0	0	14.31934	0	0	0	0	0	0	0	0	0
13.82682	14.01338	14.01475	13.9339	13.88233	14.13156	13.69579	13.92967	13.63518	13.83865	13.71573	13.9685	13.94748	13.70225	13.47754	13.95478	14.43227	13.90558	13.76117	13.625	14.05714	13.99133	13.68862	14.0708	14.17123	14.04725	14.02199	13.54994	13.58424	13.65974	13.84105	14.01623	14.13121	13.99017	14.2948	14.167	14.18056	13.88868	13.89332	13.70537	13.80558	13.72869	13.8961	13.88244	13.83396	13.65974	13.63493	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.01069	16.51353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.51278	16.25157	0	0	0	0
10.26906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.78927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.40352	0	0	0	0	0
0	0	0	0	0	0	0	0	16.54913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.55162	13.76528	13.76455	13.73401	13.58476	13.51783	0	0	13.472	0	0	0	13.37724	13.64132	13.34411	0	0	0	0	13.5966	0	0	0	0	0	0	0	13.40538	0	0	13.63361	13.66883	13.23027	13.35099	13.59768	0	0	0	13.35609	0	0	0	0	0	0	0	0	0
18.04559	18.35681	17.96083	18.24403	18.37752	18.48692	17.33485	17.74661	17.65933	18.06159	18.16174	17.53237	17.10093	15.60812	17.17745	16.10577	16.05026	15.16025	15.31223	17.94439	17.93513	16.62657	0	15.42027	0	0	0	0	0	17.28984	18.53994	18.07968	18.4237	18.23186	18.10906	17.64443	18.2732	18.11337	17.57074	15.48925	0	0	17.13709	0	0	17.21589	17.1944	17.04063
11.72089	11.52447	11.46296	11.32819	11.1803	11.46476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.44302	0	11.76582	11.36199	0	0	0	0	0	0	0	0	0	0	0	0	0
13.55758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.71836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.37614	14.14934	14.20314	13.92344	13.91122	14.08921	0	13.93556	12.33312	14.22224	14.14972	13.90168	13.88178	13.83933	13.71307	13.60174	13.42918	0	13.83178	0	13.90096	0	0	0	0	0	0	14.07573	0	0	14.07721	14.02095	13.7958	13.95494	13.75279	13.73594	13.98212	14.02715	13.99562	0	14.22477	14.24012	13.71733	0	0	13.78459	13.85947	0
