A1_1 Int (Treated)	A1_2 Int (Treated)	A1_3 Int (Treated)	A2_1 Int (Treated)	A2_2 Int (Treated)	A2_3 Int (Treated)	A6_1 Int (Treated)	A6_2 Int (Treated)	A6_3 Int (Treated)	B1_1 Int (Treated)	B1_2 Int (Treated)	B1_3 Int (Treated)	B10_1 Int (Treated)	B10_2 Int (Treated)	B10_3 Int (Treated)	B2_1 Int (Treated)	B2_2 Int (Treated)	B2_3 Int (Treated)	B3_1 Int (Treated)	B3_2 Int (Treated)	B3_3 Int (Treated)	B5_1 Int (Treated)	B5_2 Int (Treated)	B5_3 Int (Treated)	B6_1 Int (Treated)	B6_2 Int (Treated)	B6_3 Int (Treated)	B8_1 Int (Treated)	B8_2 Int (Treated)	B8_3 Int (Treated)	A3_1 Int (Treated)	A3_2 Int (Treated)	A3_3 Int (Treated)	A4_1 Int (Treated)	A4_2 Int (Treated)	A4_3 Int (Treated)	A5_1 Int (Treated)	A5_2 Int (Treated)	A5_3 Int (Treated)	B4_1 Int (Treated)	B4_2 Int (Treated)	B4_3 Int (Treated)	B7_1 Int (Treated)	B7_2 Int (Treated)	B7_3 Int (Treated)	B9_1 Int (Treated)	B9_2 Int (Treated)	B9_3 Int (Treated)
18.94686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.41091	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.71957	10.14622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.33225	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.17446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.20772	11.23063	0	0	0	15.46023
13.60011	13.70453	13.60144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.37943	0	13.19789	13.97727	0	0	0	0	0	0	0	0	0	0	0	0	12.80158	0	0	11.23321	11.35504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.38877	0	0	0	0	0	0	0	0
13.16838	13.44965	13.29605	13.37927	13.2841	13.52638	0	13.4125	13.47859	13.25803	13.33145	13.39652	13.35108	12.52392	12.4696	13.15015	14.30986	14.82918	13.52774	13.26782	13.48409	13.72827	0	13.7864	13.30902	0	0	12.76984	0	12.51484	13.45842	13.45385	0	13.4456	13.36289	0	0	0	0	13.26532	13.37288	13.26612	13.52008	0	13.48964	0	0	0
14.6409	14.67784	14.72736	14.80881	14.81941	14.96893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.57818	0	0	0	0	0	0	0	14.85545	15.0804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.93109	0
10.93097	11.13469	10.33216	11.16168	10.7675	10.3898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99591	9.800677	10.21695	10.46652	10.2484	9.994983	10.13857	10.00509	0	0	0	0	0	0	0	0	0	0
15.58461	15.55958	15.55674	15.82299	15.68855	15.65764	15.51341	15.5014	10.53738	15.44328	15.43322	15.47461	15.56047	0	15.54777	15.92744	15.97573	15.98719	0	15.69831	0	0	16.86531	0	15.87273	15.89535	16.00625	15.6195	15.55936	15.49794	15.51063	15.55887	15.50347	15.68993	15.77672	15.75499	15.57004	15.54577	15.41442	15.59887	15.6096	15.6856	0	0	0	15.97753	0	15.98954
